method,size,range,distribution,ordered,time
quickSort,5000000,200000,normal,True,14.946278095245361
mergeSort,5000000,200000,normal,True,14.410408020019531
binarySort,5000000,200000,normal,True,4.828241348266602
quickSort,6000000,200000,normal,True,17.59878373146057
mergeSort,6000000,200000,normal,True,17.21990656852722
binarySort,6000000,200000,normal,True,5.687236547470093
quickSort,7000000,200000,normal,True,19.718920946121216
mergeSort,7000000,200000,normal,True,20.413681983947754
binarySort,7000000,200000,normal,True,6.505850315093994
quickSort,8000000,200000,normal,True,24.360120058059692
mergeSort,8000000,200000,normal,True,23.8908269405365
binarySort,8000000,200000,normal,True,7.837558746337891
quickSort,9000000,200000,normal,True,28.070976972579956
mergeSort,9000000,200000,normal,True,27.317474842071533
binarySort,9000000,200000,normal,True,8.596612691879272
quickSort,10000000,200000,normal,True,33.658491373062134
mergeSort,10000000,200000,normal,True,30.681047916412354
binarySort,10000000,200000,normal,True,10.1155104637146
quickSort,1000000,10000,bimodal,True,1.9419441223144531
mergeSort,1000000,10000,bimodal,True,2.3195419311523438
binarySort,1000000,10000,bimodal,True,0.8124380111694336
quickSort,2000000,10000,bimodal,True,3.9924628734588623
mergeSort,2000000,10000,bimodal,True,5.044413328170776
binarySort,2000000,10000,bimodal,True,1.503873586654663
quickSort,3000000,10000,bimodal,True,7.118570804595947
mergeSort,3000000,10000,bimodal,True,8.493333101272583
binarySort,3000000,10000,bimodal,True,2.4596211910247803
quickSort,4000000,10000,bimodal,True,9.941586017608643
mergeSort,4000000,10000,bimodal,True,11.352735996246338
binarySort,4000000,10000,bimodal,True,3.313929796218872
quickSort,5000000,10000,bimodal,True,11.84801197052002
mergeSort,5000000,10000,bimodal,True,14.476718187332153
binarySort,5000000,10000,bimodal,True,3.8278119564056396
quickSort,6000000,10000,bimodal,True,14.295449256896973
mergeSort,6000000,10000,bimodal,True,17.378222942352295
binarySort,6000000,10000,bimodal,True,4.644821405410767
quickSort,7000000,10000,bimodal,True,16.432703971862793
mergeSort,7000000,10000,bimodal,True,20.71993088722229
binarySort,7000000,10000,bimodal,True,5.485303163528442
quickSort,8000000,10000,bimodal,True,18.209769248962402
mergeSort,8000000,10000,bimodal,True,21.97121286392212
binarySort,8000000,10000,bimodal,True,5.692569255828857
