method,size,range,distribution,ordered,time
quickSort,1000000,20000,normal,True,3.0661983489990234
binarySort,1000000,20000,normal,True,1.955080270767212
mergeSort,1000000,20000,normal,True,4.40617561340332
quickSort,2000000,20000,normal,True,7.740716934204102
mergeSort,2000000,20000,normal,True,9.488977909088135
binarySort,2000000,20000,normal,True,4.3871917724609375
mergeSort,13000000,10000,normal,True,72.77742123603821
binarySort,3000000,20000,normal,True,6.907627582550049
quickSort,3000000,20000,normal,True,11.530819654464722
mergeSort,3000000,20000,normal,True,14.524152994155884
binarySort,14000000,10000,normal,True,37.093512535095215
quickSort,14000000,10000,normal,True,61.62374496459961
binarySort,4000000,20000,normal,True,9.745493650436401
quickSort,4000000,20000,normal,True,16.248700618743896
mergeSort,4000000,20000,normal,True,20.329943418502808
mergeSort,14000000,10000,normal,True,80.3472695350647
quickSort,5000000,20000,normal,True,20.73092532157898
binarySort,5000000,20000,normal,True,12.313988208770752
mergeSort,5000000,20000,normal,True,26.068251132965088
quickSort,6000000,20000,normal,True,25.408751249313354
binarySort,6000000,20000,normal,True,15.558608770370483
binarySort,7000000,20000,normal,True,18.036569595336914
mergeSort,6000000,20000,normal,True,31.805379152297974
quickSort,7000000,20000,normal,True,30.128403902053833
mergeSort,7000000,20000,normal,True,37.57301306724548
binarySort,8000000,20000,normal,True,20.88573908805847
quickSort,8000000,20000,normal,True,34.22658634185791
mergeSort,8000000,20000,normal,True,43.69494342803955
binarySort,9000000,20000,normal,True,23.923152923583984
quickSort,9000000,20000,normal,True,39.758363246917725
mergeSort,9000000,20000,normal,True,49.0286123752594
binarySort,10000000,20000,normal,True,26.755209922790527
quickSort,10000000,20000,normal,True,46.92040014266968
mergeSort,10000000,20000,normal,True,55.43533277511597
binarySort,11000000,20000,normal,True,30.1309871673584
quickSort,11000000,20000,normal,True,51.12309145927429
mergeSort,11000000,20000,normal,True,61.370134592056274
binarySort,12000000,20000,normal,True,33.00544762611389
quickSort,12000000,20000,normal,True,57.87135434150696
mergeSort,12000000,20000,normal,True,68.81938362121582
binarySort,13000000,20000,normal,True,35.82680296897888
quickSort,1000000,30000,normal,True,3.165694236755371
quickSort,13000000,20000,normal,True,60.94392132759094
mergeSort,1000000,30000,normal,True,4.369961738586426
binarySort,1000000,30000,normal,True,2.0484554767608643
quickSort,2000000,30000,normal,True,7.041787385940552
mergeSort,2000000,30000,normal,True,9.25298547744751
binarySort,2000000,30000,normal,True,4.360238790512085
mergeSort,13000000,20000,normal,True,73.86133813858032
quickSort,3000000,30000,normal,True,11.9197256565094
binarySort,3000000,30000,normal,True,6.95266056060791
mergeSort,3000000,30000,normal,True,15.054356098175049
binarySort,14000000,20000,normal,True,38.63536524772644
quickSort,14000000,20000,normal,True,65.77669596672058
binarySort,4000000,30000,normal,True,9.529024124145508
quickSort,4000000,30000,normal,True,16.456767797470093
mergeSort,4000000,30000,normal,True,20.328086614608765
binarySort,5000000,30000,normal,True,12.35896921157837
mergeSort,14000000,20000,normal,True,80.27126121520996
