method,size,range,distribution,ordered,time
quickSort,6000000,30000,normal,True,19.976346731185913
binarySort,6000000,30000,normal,True,13.709833860397339
mergeSort,6000000,30000,normal,True,26.175220251083374
binarySort,7000000,30000,normal,True,16.754302263259888
quickSort,7000000,30000,normal,True,25.802420139312744
mergeSort,7000000,30000,normal,True,32.41407227516174
quickSort,8000000,30000,normal,True,32.4059100151062
binarySort,8000000,30000,normal,True,21.620549201965332
mergeSort,8000000,30000,normal,True,37.91093635559082
quickSort,9000000,30000,normal,True,34.57591485977173
binarySort,9000000,30000,normal,True,21.873487949371338
mergeSort,9000000,30000,normal,True,41.23477268218994
quickSort,1000000,40000,normal,True,2.534176826477051
mergeSort,1000000,40000,normal,True,3.4712088108062744
binarySort,10000000,30000,normal,True,24.044581174850464
binarySort,1000000,40000,normal,True,1.9567902088165283
quickSort,10000000,30000,normal,True,37.45327043533325
quickSort,2000000,40000,normal,True,5.373862266540527
binarySort,2000000,40000,normal,True,4.10414981842041
mergeSort,2000000,40000,normal,True,7.644133806228638
quickSort,3000000,40000,normal,True,9.201695919036865
binarySort,3000000,40000,normal,True,6.58561897277832
mergeSort,10000000,30000,normal,True,44.516921281814575
mergeSort,3000000,40000,normal,True,11.803021430969238
quickSort,4000000,40000,normal,True,12.801459789276123
binarySort,4000000,40000,normal,True,9.19555950164795
mergeSort,4000000,40000,normal,True,16.311452388763428
quickSort,5000000,40000,normal,True,17.138725519180298
binarySort,5000000,40000,normal,True,11.667526960372925
mergeSort,5000000,40000,normal,True,21.071362495422363
quickSort,6000000,40000,normal,True,20.497477293014526
binarySort,6000000,40000,normal,True,14.060885429382324
mergeSort,6000000,40000,normal,True,25.175795078277588
binarySort,7000000,40000,normal,True,16.857532262802124
quickSort,7000000,40000,normal,True,25.01126217842102
mergeSort,7000000,40000,normal,True,30.41160249710083
quickSort,8000000,40000,normal,True,30.122504234313965
binarySort,8000000,40000,normal,True,19.923701763153076
mergeSort,8000000,40000,normal,True,34.870349645614624
quickSort,9000000,40000,normal,True,32.76847696304321
binarySort,9000000,40000,normal,True,22.18575358390808
mergeSort,9000000,40000,normal,True,39.45637917518616
quickSort,1000000,50000,normal,True,2.46083927154541
mergeSort,1000000,50000,normal,True,3.3546295166015625
binarySort,1000000,50000,normal,True,1.9092957973480225
quickSort,10000000,40000,normal,True,35.75933384895325
binarySort,10000000,40000,normal,True,24.85672378540039
quickSort,2000000,50000,normal,True,5.729623556137085
binarySort,2000000,50000,normal,True,4.004872560501099
mergeSort,2000000,50000,normal,True,7.459369421005249
quickSort,3000000,50000,normal,True,9.297828912734985
binarySort,3000000,50000,normal,True,6.420644283294678
mergeSort,10000000,40000,normal,True,44.46345615386963
mergeSort,3000000,50000,normal,True,11.699247360229492
quickSort,4000000,50000,normal,True,13.433913946151733
binarySort,4000000,50000,normal,True,8.998055219650269
mergeSort,4000000,50000,normal,True,15.703939199447632
quickSort,5000000,50000,normal,True,16.468481063842773
binarySort,5000000,50000,normal,True,11.512783527374268
mergeSort,5000000,50000,normal,True,20.520869731903076
quickSort,6000000,50000,normal,True,21.03285241127014
binarySort,6000000,50000,normal,True,14.088608503341675
mergeSort,6000000,50000,normal,True,24.89976739883423
quickSort,7000000,50000,normal,True,24.225736618041992
binarySort,7000000,50000,normal,True,17.093300104141235
mergeSort,7000000,50000,normal,True,30.333619594573975
quickSort,8000000,50000,normal,True,31.304290056228638
binarySort,8000000,50000,normal,True,20.659780979156494
mergeSort,8000000,50000,normal,True,36.60767364501953
quickSort,9000000,50000,normal,True,34.581215620040894
binarySort,9000000,50000,normal,True,24.027701139450073
mergeSort,9000000,50000,normal,True,42.77598571777344
quickSort,1000000,10000,bimodal,True,2.4671566486358643
mergeSort,1000000,10000,bimodal,True,3.4678518772125244
binarySort,1000000,10000,bimodal,True,1.6253015995025635
binarySort,10000000,50000,normal,True,26.42725443840027
quickSort,2000000,10000,bimodal,True,4.856322526931763
quickSort,10000000,50000,normal,True,39.91626262664795
binarySort,2000000,10000,bimodal,True,3.5057756900787354
mergeSort,2000000,10000,bimodal,True,7.416722536087036
quickSort,3000000,10000,bimodal,True,7.873775959014893
binarySort,3000000,10000,bimodal,True,6.171268939971924
mergeSort,3000000,10000,bimodal,True,12.252171993255615
mergeSort,10000000,50000,normal,True,45.87983989715576
quickSort,4000000,10000,bimodal,True,11.76751708984375
binarySort,4000000,10000,bimodal,True,8.14702296257019
mergeSort,4000000,10000,bimodal,True,16.441608667373657
quickSort,5000000,10000,bimodal,True,14.724071741104126
binarySort,5000000,10000,bimodal,True,10.727855920791626
mergeSort,5000000,10000,bimodal,True,21.062992572784424
quickSort,6000000,10000,bimodal,True,19.138675212860107
binarySort,6000000,10000,bimodal,True,13.1378493309021
mergeSort,6000000,10000,bimodal,True,25.022050142288208
quickSort,7000000,10000,bimodal,True,21.813056707382202
binarySort,7000000,10000,bimodal,True,15.264869451522827
mergeSort,7000000,10000,bimodal,True,30.05474829673767
quickSort,8000000,10000,bimodal,True,24.560924768447876
binarySort,8000000,10000,bimodal,True,17.866722106933594
mergeSort,8000000,10000,bimodal,True,34.411842823028564
binarySort,9000000,10000,bimodal,True,20.427263975143433
quickSort,9000000,10000,bimodal,True,28.83522653579712
mergeSort,9000000,10000,bimodal,True,39.69190812110901
quickSort,1000000,20000,bimodal,True,2.321382522583008
mergeSort,1000000,20000,bimodal,True,3.6613500118255615
binarySort,1000000,20000,bimodal,True,1.929008960723877
quickSort,10000000,10000,bimodal,True,33.45805835723877
binarySort,10000000,10000,bimodal,True,23.572736263275146
quickSort,2000000,20000,bimodal,True,5.105959892272949
binarySort,2000000,20000,bimodal,True,4.035321474075317
mergeSort,2000000,20000,bimodal,True,7.798024654388428
quickSort,3000000,20000,bimodal,True,8.796221017837524
binarySort,3000000,20000,bimodal,True,6.295296907424927
mergeSort,3000000,20000,bimodal,True,12.023866176605225
mergeSort,10000000,10000,bimodal,True,45.229774951934814
quickSort,4000000,20000,bimodal,True,12.376190900802612
binarySort,4000000,20000,bimodal,True,8.776547908782959
mergeSort,4000000,20000,bimodal,True,16.216215133666992
quickSort,5000000,20000,bimodal,True,17.14884328842163
binarySort,5000000,20000,bimodal,True,11.442626953125
mergeSort,5000000,20000,bimodal,True,21.23384666442871
quickSort,6000000,20000,bimodal,True,19.968376636505127
binarySort,6000000,20000,bimodal,True,13.85069990158081
mergeSort,6000000,20000,bimodal,True,25.91607427597046
quickSort,7000000,20000,bimodal,True,23.712215423583984
binarySort,7000000,20000,bimodal,True,16.369067668914795
mergeSort,7000000,20000,bimodal,True,30.46496891975403
quickSort,8000000,20000,bimodal,True,27.306901454925537
binarySort,8000000,20000,bimodal,True,19.023276567459106
mergeSort,8000000,20000,bimodal,True,35.192949056625366
quickSort,9000000,20000,bimodal,True,32.02478504180908
binarySort,9000000,20000,bimodal,True,21.811498403549194
mergeSort,9000000,20000,bimodal,True,40.21280312538147
quickSort,1000000,30000,bimodal,True,2.510049343109131
mergeSort,1000000,30000,bimodal,True,3.2698991298675537
binarySort,1000000,30000,bimodal,True,1.8771851062774658
binarySort,10000000,20000,bimodal,True,23.98732352256775
quickSort,10000000,20000,bimodal,True,35.965496301651
quickSort,2000000,30000,bimodal,True,5.4007604122161865
binarySort,2000000,30000,bimodal,True,3.944603681564331
mergeSort,2000000,30000,bimodal,True,7.61216926574707
quickSort,3000000,30000,bimodal,True,9.095367908477783
binarySort,3000000,30000,bimodal,True,6.3009185791015625
mergeSort,3000000,30000,bimodal,True,11.990176916122437
mergeSort,10000000,20000,bimodal,True,45.176109313964844
quickSort,4000000,30000,bimodal,True,12.833280086517334
binarySort,4000000,30000,bimodal,True,8.788374662399292
mergeSort,4000000,30000,bimodal,True,16.428245067596436
quickSort,5000000,30000,bimodal,True,16.64844059944153
binarySort,5000000,30000,bimodal,True,11.126760005950928
mergeSort,5000000,30000,bimodal,True,20.97698950767517
quickSort,6000000,30000,bimodal,True,20.7781081199646
binarySort,6000000,30000,bimodal,True,13.641307592391968
mergeSort,6000000,30000,bimodal,True,25.484379053115845
binarySort,7000000,30000,bimodal,True,16.16079831123352
quickSort,7000000,30000,bimodal,True,23.791488885879517
mergeSort,7000000,30000,bimodal,True,30.30134868621826
binarySort,8000000,30000,bimodal,True,18.7688889503479
quickSort,8000000,30000,bimodal,True,29.99436044692993
mergeSort,8000000,30000,bimodal,True,34.88823413848877
binarySort,9000000,30000,bimodal,True,21.52033305168152
quickSort,9000000,30000,bimodal,True,32.551384687423706
mergeSort,9000000,30000,bimodal,True,39.10635709762573
quickSort,1000000,40000,bimodal,True,2.6079444885253906
mergeSort,1000000,40000,bimodal,True,3.479193687438965
binarySort,1000000,40000,bimodal,True,1.9724605083465576
binarySort,10000000,30000,bimodal,True,24.049641132354736
quickSort,10000000,30000,bimodal,True,36.61240911483765
quickSort,2000000,40000,bimodal,True,5.742528676986694
binarySort,2000000,40000,bimodal,True,4.142457962036133
mergeSort,2000000,40000,bimodal,True,7.8439366817474365
quickSort,3000000,40000,bimodal,True,9.25019383430481
binarySort,3000000,40000,bimodal,True,6.57331395149231
mergeSort,3000000,40000,bimodal,True,11.980164527893066
mergeSort,10000000,30000,bimodal,True,45.518317222595215
quickSort,4000000,40000,bimodal,True,12.959486961364746
binarySort,4000000,40000,bimodal,True,9.33055853843689
mergeSort,4000000,40000,bimodal,True,16.39695453643799
quickSort,5000000,40000,bimodal,True,16.71814250946045
binarySort,5000000,40000,bimodal,True,11.504837036132812
mergeSort,5000000,40000,bimodal,True,20.80156421661377
quickSort,6000000,40000,bimodal,True,20.83721399307251
binarySort,6000000,40000,bimodal,True,14.39946722984314
mergeSort,6000000,40000,bimodal,True,25.87821340560913
quickSort,7000000,40000,bimodal,True,24.671841382980347
binarySort,7000000,40000,bimodal,True,17.10740327835083
mergeSort,7000000,40000,bimodal,True,30.197316646575928
quickSort,8000000,40000,bimodal,True,29.65940260887146
binarySort,8000000,40000,bimodal,True,19.620375871658325
mergeSort,8000000,40000,bimodal,True,34.5486056804657
quickSort,9000000,40000,bimodal,True,33.51735997200012
binarySort,9000000,40000,bimodal,True,22.32388138771057
mergeSort,9000000,40000,bimodal,True,40.36497116088867
quickSort,1000000,50000,bimodal,True,2.4671542644500732
mergeSort,1000000,50000,bimodal,True,3.409111738204956
binarySort,1000000,50000,bimodal,True,1.907264232635498
binarySort,10000000,40000,bimodal,True,25.043853998184204
quickSort,10000000,40000,bimodal,True,36.99368929862976
quickSort,2000000,50000,bimodal,True,6.127361059188843
binarySort,2000000,50000,bimodal,True,4.111192464828491
mergeSort,2000000,50000,bimodal,True,7.532613277435303
quickSort,3000000,50000,bimodal,True,9.741414070129395
binarySort,3000000,50000,bimodal,True,6.658989667892456
mergeSort,3000000,50000,bimodal,True,12.274129390716553
mergeSort,10000000,40000,bimodal,True,45.501209020614624
quickSort,4000000,50000,bimodal,True,13.75428581237793
binarySort,4000000,50000,bimodal,True,9.138739824295044
mergeSort,4000000,50000,bimodal,True,16.333214282989502
quickSort,5000000,50000,bimodal,True,18.064105987548828
binarySort,5000000,50000,bimodal,True,11.737772941589355
mergeSort,5000000,50000,bimodal,True,21.562191009521484
quickSort,6000000,50000,bimodal,True,21.340675354003906
binarySort,6000000,50000,bimodal,True,14.215660333633423
mergeSort,6000000,50000,bimodal,True,26.321396112442017
binarySort,7000000,50000,bimodal,True,17.01839017868042
quickSort,7000000,50000,bimodal,True,24.53454327583313
mergeSort,7000000,50000,bimodal,True,30.293355703353882
